FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
31263,US,WPNG921,12,6197.24,30
31266,US,WPNG931,13,6093.45,30
31267,US,WPNG931,14,6123.1,30
31268,US,WPNG931,15,6063.8,30
31269,US,WPNG931,16,6093.45,30
31270,US,WPNG945,1,6131.13,3.75
31271,US,WPNG945,2,6150.897,3.2
31272,US,WPNG945,3,6063.8,30
31273,US,WPNG945,4,6004.5,30
31274,US,WPNG945,5,6093.45,30
31275,US,WPNG982,51,6315.84,30
31276,US,WPNG982,52,6345.49,30
31277,US,WPNG982,53,6675,30
31278,US,WPNG982,57,6226.89,30
31279,US,WPNG982,57,6286.19,30
31280,US,WPNG982,58,6345.49,30
31281,US,WPNG982,63,6226.89,30
31282,US,WPNG982,63,6375.14,30
31283,US,WPNG982,64,6197.24,30
31284,US,WPNG982,64,6256.54,30
31285,US,WPNG982,64,6345.49,30
31286,US,WPNG982,75,6226.89,30
31287,US,WPNG982,75,6345.49,30
31288,US,WPNG982,84,6226.89,30
31289,US,WPNG982,84,6375.14,30
31290,US,WPNG982,85,6197.24,30
31291,US,WPNG982,85,6256.54,30
31292,US,WPNG982,85,6345.49,30
31293,US,WPNH200,1,6004.5,30
31294,US,WPNH200,2,6034.15,30
31295,US,WPNH200,3,6093.45,30
31296,US,WPNH200,5,6004.5,30
31297,US,WPNH200,6,5974.85,30
31298,US,WPNH200,7,6093.45,30
31299,US,WPNH200,15,6004.5,30
31300,US,WPNH200,16,5974.85,30
31301,US,WPNH200,17,6093.45,30
31302,US,WPNH200,18,6004.5,30
31303,US,WPNH200,19,6093.45,30
31304,US,WPNH200,20,6004.5,30
31305,US,WPNH200,21,5945.2,30
31306,US,WPNH200,22,6595,30
31307,US,WPNH203,3,6063.8,30
31308,US,WPNH203,4,5974.85,30
31309,US,WPNH203,5,5974.85,30
31310,US,WPNH203,7,6063.8,30
31311,US,WPNH203,8,5974.85,30
31312,US,WPNH204,1,6286.19,30
31313,US,WPNH204,6,6197.24,30
31314,US,WPNH205,1,6645,4.94
31315,US,WPNH205,3,6645,10
31316,US,WPNH206,1,6715,4.94
31317,US,WPNH206,2,6715,10
31318,US,WPNH207,1,6565,10
31319,US,WPNH207,5,6655,30
31320,US,WPNH207,9,6226.89,30
31321,US,WPNH207,10,6615,10
31322,US,WPNH207,11,6655,30
31323,US,WPNH207,12,6404.79,30
31324,US,WPNH208,4,6226.89,30
31325,US,WPNH208,5,6286.19,30
31326,US,WPNH208,6,6755,10
31327,US,WPNH208,7,6226.89,30
31328,US,WPNH208,8,6286.19,30
31329,US,WPNH208,9,6226.89,30
31330,US,WPNH208,10,6226.89,30
31331,US,WPNH209,3,6705.625,3.75
31332,US,WPNH209,4,5945.2,30
31333,US,WPNH209,5,6004.5,30
31334,US,WPNH209,8,5945.2,30
31335,US,WPNH209,9,6004.5,30
31336,US,WPNH210,9,6315.84,30
31337,US,WPNH210,13,5945.2,30
31338,US,WPNH210,14,6815,30
31339,US,WPNH211,1,6715,10
31340,US,WPNH211,2,6745,10
31341,US,WPNH211,3,6152.75,30
31342,US,WPNH211,4,6123.1,30
31343,US,WPNH211,5,6815,10
31344,US,WPNH211,6,6152.75,30
31345,US,WPNH211,7,6123.1,30
31346,US,WPNH211,8,6725,30
31347,US,WPNH272,1,6645,5
31348,US,WPNH279,9,6063.8,30
31349,US,WPNH279,10,6093.45,30
31350,US,WPNH279,11,6093.45,30
31351,US,WPNH279,11,6152.75,30
31352,US,WPNH279,12,5974.85,30
31353,US,WPNH279,12,6034.15,30
31354,US,WPNH329,2,6345.49,30
31355,US,WPNH331,2,6034.15,30
31356,US,WPNH331,3,6625,30
31357,US,WPNH331,4,6555,30
31358,US,WPNH331,5,5945.2,30
31359,US,WPNH331,5,6034.15,30
31360,US,WPNH343,4,6004.5,30
31361,US,WPNH343,5,6063.8,30
31362,US,WPNH344,14,6256.54,30
31363,US,WPNH344,15,6315.84,30
31364,US,WPNH347,1,6845.625,3.75
31365,US,WPNH355,3,6404.79,30
31366,US,WPNH355,4,6345.49,30
31367,US,WPNH355,5,6375.14,30
31368,US,WPNH355,7,6345.49,30
31369,US,WPNH355,7,6404.79,30
31370,US,WPNH355,8,6375.14,30
31371,US,WPNH357,6,6197.24,30
31372,US,WPNH357,6,6256.54,30
31373,US,WPNH357,7,6286.19,30
31374,US,WPNH357,8,6315.84,30
31375,US,WPNH357,9,6286.19,30
31376,US,WPNH357,9,6404.79,30
31377,US,WPNH357,10,6315.84,30
31378,US,WPNH357,11,6197.24,30
31379,US,WPNH357,11,6256.54,30
